Type,RUN,TOOL,TPR,TNR,FPR,TP,TN,FP,FN,SHARED
Top_SNPs,n100/run39,MultiGWAS,0.3,0.953846153846154,0.0461538461538462,3,372,18,7,Shared1
Top_SNPs,n100/run39,GWASpoly,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run39,GAPIT,0.3,0.982051282051282,0.0179487179487179,3,383,7,7,Shared1
Top_SNPs,n100/run39,PLINK,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run4,MultiGWAS,0.4,0.958974358974359,0.041025641025641,4,374,16,6,Shared1
Top_SNPs,n100/run4,GWASpoly,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run4,GAPIT,0.4,0.984615384615385,0.0153846153846154,4,384,6,6,Shared1
Top_SNPs,n100/run4,PLINK,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run40,MultiGWAS,0.3,0.961538461538462,0.0384615384615385,3,375,15,7,Shared1
Top_SNPs,n100/run40,GWASpoly,0.3,0.982051282051282,0.0179487179487179,3,383,7,7,Shared1
Top_SNPs,n100/run40,GAPIT,0.3,0.982051282051282,0.0179487179487179,3,383,7,7,Shared1
Top_SNPs,n100/run40,PLINK,0.3,0.982051282051282,0.0179487179487179,3,383,7,7,Shared1
Top_SNPs,n100/run41,MultiGWAS,0.5,0.958974358974359,0.041025641025641,5,374,16,5,Shared1
Top_SNPs,n100/run41,GWASpoly,0.3,0.982051282051282,0.0179487179487179,3,383,7,7,Shared1
Top_SNPs,n100/run41,GAPIT,0.3,0.982051282051282,0.0179487179487179,3,383,7,7,Shared1
Top_SNPs,n100/run41,PLINK,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run42,MultiGWAS,0.2,0.946153846153846,0.0538461538461538,2,369,21,8,Shared1
Top_SNPs,n100/run42,GWASpoly,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run42,GAPIT,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run42,PLINK,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run43,MultiGWAS,0.3,0.951282051282051,0.0487179487179487,3,371,19,7,Shared1
Top_SNPs,n100/run43,GWASpoly,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run43,GAPIT,0.3,0.982051282051282,0.0179487179487179,3,383,7,7,Shared1
Top_SNPs,n100/run43,PLINK,0.1,0.976923076923077,0.0230769230769231,1,381,9,9,Shared1
Top_SNPs,n100/run44,MultiGWAS,0.6,0.974358974358974,0.0256410256410256,6,380,10,4,Shared1
Top_SNPs,n100/run44,GWASpoly,0.3,0.982051282051282,0.0179487179487179,3,383,7,7,Shared1
Top_SNPs,n100/run44,GAPIT,0.6,0.98974358974359,0.0102564102564103,6,386,4,4,Shared1
Top_SNPs,n100/run44,PLINK,0.3,0.982051282051282,0.0179487179487179,3,383,7,7,Shared1
Top_SNPs,n100/run45,MultiGWAS,0.2,0.953846153846154,0.0461538461538462,2,372,18,8,Shared1
Top_SNPs,n100/run45,GWASpoly,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run45,GAPIT,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run45,PLINK,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run46,MultiGWAS,0.2,0.951282051282051,0.0487179487179487,2,371,19,8,Shared1
Top_SNPs,n100/run46,GWASpoly,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run46,GAPIT,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run46,PLINK,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run47,MultiGWAS,0.4,0.958974358974359,0.041025641025641,4,374,16,6,Shared1
Top_SNPs,n100/run47,GWASpoly,0.4,0.984615384615385,0.0153846153846154,4,384,6,6,Shared1
Top_SNPs,n100/run47,GAPIT,0.4,0.984615384615385,0.0153846153846154,4,384,6,6,Shared1
Top_SNPs,n100/run47,PLINK,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run48,MultiGWAS,0.4,0.956410256410256,0.0435897435897436,4,373,17,6,Shared1
Top_SNPs,n100/run48,GWASpoly,0.3,0.982051282051282,0.0179487179487179,3,383,7,7,Shared1
Top_SNPs,n100/run48,GAPIT,0.4,0.984615384615385,0.0153846153846154,4,384,6,6,Shared1
Top_SNPs,n100/run48,PLINK,0.3,0.982051282051282,0.0179487179487179,3,383,7,7,Shared1
Top_SNPs,n100/run49,MultiGWAS,0.3,0.948717948717949,0.0512820512820513,3,370,20,7,Shared1
Top_SNPs,n100/run49,GWASpoly,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run49,GAPIT,0.3,0.982051282051282,0.0179487179487179,3,383,7,7,Shared1
Top_SNPs,n100/run49,PLINK,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run5,MultiGWAS,0.1,0.935897435897436,0.0641025641025641,1,365,25,9,Shared1
Top_SNPs,n100/run5,GWASpoly,0,0.974358974358974,0.0256410256410256,0,380,10,10,Shared1
Top_SNPs,n100/run5,GAPIT,0.1,0.976923076923077,0.0230769230769231,1,381,9,9,Shared1
Top_SNPs,n100/run5,PLINK,0.1,0.976923076923077,0.0230769230769231,1,381,9,9,Shared1
Top_SNPs,n100/run50,MultiGWAS,0.1,0.956410256410256,0.0435897435897436,1,373,17,9,Shared1
