RUN,TOOL,TPR,TNR,TP,TN,FP,FN
run27,MultiGWAS,0.6,0.98974358974359,6,386,4,4
run27,GWASpoly,0.5,0.987179487179487,5,385,5,5
run27,PLINK,0.6,0.98974358974359,6,386,4,4
run27,SHEsis,0.4,0.984615384615385,4,384,6,6
run27,TASSEL,0.6,0.98974358974359,6,386,4,4
run28,MultiGWAS,0.8,0.994871794871795,8,388,2,2
run28,GWASpoly,0.8,0.994871794871795,8,388,2,2
run28,PLINK,0.8,0.994871794871795,8,388,2,2
run28,SHEsis,0.7,0.992307692307692,7,387,3,3
run28,TASSEL,0.8,0.994871794871795,8,388,2,2
run29,MultiGWAS,0.7,0.992307692307692,7,387,3,3
run29,GWASpoly,0.5,0.987179487179487,5,385,5,5
run29,PLINK,0.7,0.992307692307692,7,387,3,3
run29,SHEsis,0.4,0.984615384615385,4,384,6,6
run29,TASSEL,0.7,0.992307692307692,7,387,3,3
run30,MultiGWAS,0.5,0.987179487179487,5,385,5,5
run30,GWASpoly,0.4,0.984615384615385,4,384,6,6
run30,PLINK,0.5,0.987179487179487,5,385,5,5
run30,SHEsis,0.4,0.984615384615385,4,384,6,6
run30,TASSEL,0.5,0.987179487179487,5,385,5,5
run31,MultiGWAS,0.9,0.997435897435897,9,389,1,1
run31,GWASpoly,0.8,0.994871794871795,8,388,2,2
run31,PLINK,0.9,0.997435897435897,9,389,1,1
run31,SHEsis,0.7,0.992307692307692,7,387,3,3
run31,TASSEL,0.9,0.997435897435897,9,389,1,1
run32,MultiGWAS,0.7,0.992307692307692,7,387,3,3
run32,GWASpoly,0.7,0.992307692307692,7,387,3,3
run32,PLINK,0.6,0.98974358974359,6,386,4,4
run32,SHEsis,0.6,0.98974358974359,6,386,4,4
run32,TASSEL,0.6,0.98974358974359,6,386,4,4
run33,MultiGWAS,0.3,0.982051282051282,3,383,7,7
run33,GWASpoly,0.5,0.987179487179487,5,385,5,5
run33,PLINK,0.6,0.98974358974359,6,386,4,4
run33,SHEsis,0.3,0.982051282051282,3,383,7,7
run33,TASSEL,0.6,0.98974358974359,6,386,4,4
run34,MultiGWAS,0.6,0.98974358974359,6,386,4,4
run34,GWASpoly,0.6,0.98974358974359,6,386,4,4
run34,PLINK,0.6,0.98974358974359,6,386,4,4
run34,SHEsis,0.6,0.98974358974359,6,386,4,4
run34,TASSEL,0.6,0.98974358974359,6,386,4,4
run35,MultiGWAS,0.6,0.98974358974359,6,386,4,4
run35,GWASpoly,0.5,0.987179487179487,5,385,5,5
run35,PLINK,0.6,0.98974358974359,6,386,4,4
run35,SHEsis,0.6,0.98974358974359,6,386,4,4
run35,TASSEL,0.6,0.98974358974359,6,386,4,4
run36,MultiGWAS,0.5,0.987179487179487,5,385,5,5
run36,GWASpoly,0.3,0.982051282051282,3,383,7,7
run36,PLINK,0.5,0.987179487179487,5,385,5,5
run36,SHEsis,0.3,0.982051282051282,3,383,7,7
run36,TASSEL,0.5,0.987179487179487,5,385,5,5
run37,MultiGWAS,0.5,0.987179487179487,5,385,5,5
run37,GWASpoly,0.5,0.987179487179487,5,385,5,5
run37,PLINK,0.5,0.987179487179487,5,385,5,5
run37,SHEsis,0.5,0.987179487179487,5,385,5,5
run37,TASSEL,0.5,0.987179487179487,5,385,5,5
run38,MultiGWAS,0.7,0.992307692307692,7,387,3,3
run38,GWASpoly,0.6,0.98974358974359,6,386,4,4
run38,PLINK,0.7,0.992307692307692,7,387,3,3
run38,SHEsis,0.4,0.984615384615385,4,384,6,6
run38,TASSEL,0.7,0.992307692307692,7,387,3,3
run39,MultiGWAS,0.7,0.992307692307692,7,387,3,3
run39,GWASpoly,0.7,0.992307692307692,7,387,3,3
run39,PLINK,0.6,0.98974358974359,6,386,4,4
run39,SHEsis,0.4,0.984615384615385,4,384,6,6
run39,TASSEL,0.6,0.98974358974359,6,386,4,4
run40,MultiGWAS,0.5,0.987179487179487,5,385,5,5
run40,GWASpoly,0.4,0.984615384615385,4,384,6,6
run40,PLINK,0.6,0.98974358974359,6,386,4,4
run40,SHEsis,0.5,0.987179487179487,5,385,5,5
run40,TASSEL,0.6,0.98974358974359,6,386,4,4
run41,MultiGWAS,0.6,0.98974358974359,6,386,4,4
run41,GWASpoly,0.4,0.984615384615385,4,384,6,6
run41,PLINK,0.6,0.98974358974359,6,386,4,4
run41,SHEsis,0.6,0.98974358974359,6,386,4,4
run41,TASSEL,0.6,0.98974358974359,6,386,4,4
run42,MultiGWAS,0.5,0.987179487179487,5,385,5,5
run42,GWASpoly,0.4,0.984615384615385,4,384,6,6
run42,PLINK,0.5,0.987179487179487,5,385,5,5
run42,SHEsis,0.5,0.987179487179487,5,385,5,5
run42,TASSEL,0.5,0.987179487179487,5,385,5,5
run43,MultiGWAS,0.7,0.992307692307692,7,387,3,3
run43,GWASpoly,0.6,0.98974358974359,6,386,4,4
run43,PLINK,0.6,0.98974358974359,6,386,4,4
run43,SHEsis,0.5,0.987179487179487,5,385,5,5
run43,TASSEL,0.6,0.98974358974359,6,386,4,4
run44,MultiGWAS,0.7,0.992307692307692,7,387,3,3
run44,GWASpoly,0.7,0.992307692307692,7,387,3,3
run44,PLINK,0.7,0.992307692307692,7,387,3,3
run44,SHEsis,0.6,0.98974358974359,6,386,4,4
run44,TASSEL,0.7,0.992307692307692,7,387,3,3
run45,MultiGWAS,0.6,0.98974358974359,6,386,4,4
run45,GWASpoly,0.6,0.98974358974359,6,386,4,4
run45,PLINK,0.6,0.98974358974359,6,386,4,4
run45,SHEsis,0.5,0.987179487179487,5,385,5,5
run45,TASSEL,0.6,0.98974358974359,6,386,4,4
run46,MultiGWAS,0.5,0.987179487179487,5,385,5,5
run46,GWASpoly,0.3,0.982051282051282,3,383,7,7
run46,PLINK,0.5,0.987179487179487,5,385,5,5
run46,SHEsis,0.2,0.979487179487179,2,382,8,8
run46,TASSEL,0.5,0.987179487179487,5,385,5,5
run47,MultiGWAS,0.6,0.98974358974359,6,386,4,4
run47,GWASpoly,0.6,0.98974358974359,6,386,4,4
run47,PLINK,0.6,0.98974358974359,6,386,4,4
run47,SHEsis,0.5,0.987179487179487,5,385,5,5
run47,TASSEL,0.6,0.98974358974359,6,386,4,4
run48,MultiGWAS,0.6,0.98974358974359,6,386,4,4
run48,GWASpoly,0.5,0.987179487179487,5,385,5,5
run48,PLINK,0.6,0.98974358974359,6,386,4,4
run48,SHEsis,0.3,0.982051282051282,3,383,7,7
run48,TASSEL,0.6,0.98974358974359,6,386,4,4
run49,MultiGWAS,0.9,0.997435897435897,9,389,1,1
run49,GWASpoly,0.7,0.992307692307692,7,387,3,3
run49,PLINK,0.8,0.994871794871795,8,388,2,2
run49,SHEsis,0.6,0.98974358974359,6,386,4,4
run49,TASSEL,0.8,0.994871794871795,8,388,2,2
run50,MultiGWAS,0.8,0.994871794871795,8,388,2,2
run50,GWASpoly,0.7,0.992307692307692,7,387,3,3
run50,PLINK,0.8,0.994871794871795,8,388,2,2
run50,SHEsis,0.8,0.994871794871795,8,388,2,2
run50,TASSEL,0.8,0.994871794871795,8,388,2,2
